STRING ID,DESCRIPTION,ENGLISH,RUSSIAN / РУССКИЙ,COMMENTARIES
LANGUAGE_NAME,Leave empty if it's a standard translation,,,
LANGUAGE_MAINTAINER,Name of the language file maintainer,Aragas,Aragas,
BEGIN,,,,
;Main Form;,,,,
mf_title,Window Title,Pokémon 3D Launcher,Pokémon 3D Launcher,
mf_button_play,News Tab,Play,Играть,
mf_button_checkforupdates,News Tab,Check for Updates,Проверить обновления,
mf_button_newprofile,News Tab,New Profile,Новый профиль,
mf_button_editprofile,News Tab,Edit Profile,Изменить профиль,
mf_button_delete,News Tab,Delete Profile,Удалить профиль,
mf_groupbox_common,Settings Tab,Common,Общее,
mf_checkbox_checkforupdatesonstartup,Settings Tab,Check for game updates on startup,Автоматически проверять обновления при запуске,
mf_label_language,Settings Tab,Language:,Язык:,
mf_groupbox_gamejolt,Settings Tab,GameJolt,Сеть,
mf_label_username,Settings Tab,Username:,Имя пользователя:,
mf_label_token,Settings Tab,Token:,Токен:,
mf_label_token_hint,Settings Tab,"This is your GameJolt Token, not your GameJolt Password! For more info, check the FAQ tab","Это Ваш GameJolt Токен, а не пароль! Посмотрите FAQ для подробностей",
mf_checkbox_savecredentials,Settings Tab,Remember me,Сохранить данные для входа,
mf_checkbox_autologin,Settings Tab,Keep me logged in,Автоматически входить в аккаунт,
mf_groupbox_network,Settings Tab,Network,Сеть,
mf_label_selecteddl,"Settings Tab
DL - Download Link",Selected DL:,Ссылка для скачивания:,
mf_button_save,Settings Tab,Save,Сохранить,
mf_textbox_credits,About Tab,"Launcher by {0}
Translation:
{1}","Launcher создал {0}
Перевод:
{1}",
mf_tabpage_news,Tab Name,News,Новости,
mf_tabpage_logger,Tab Name,Logger,Логгер,
mf_tabpage_faq,Tab Name,FAQ,FAQ,
mf_tabpage_settings,Tab Name,Settings,Настройки,
mf_tabpage_about,Tab Name,About,О программе,
;GameJolt Form;,,,,
gj_title,Window Title,You are not logged into GameJolt! ,Вы не вошли в GameJolt!,
gj_wtextbox_username,,Username,Имя пользователя,
gj_wtextbox_token,,Token,Токен,
gj_checkbox_autologin,,Keep me logged in,Автоматически входить в аккаунт,
gj_checkbox_savecredentials,,Remember me,Сохранить данные для входа,
gj_label_questionchar,,?,?,
gj_button_login,,Log In,Войти,
gj_button_playoffline,,Play Offline,Играть оффлайн,
gj_button_signin,,Sign Up,Зарегистрироваться,
;Profile Form;,,,,
pf_title,Window Title,Profile Editor,Редактор профиля,
pf_groupbox_profileinfo,,Profile Info,Информация о профиле,
pf_label_profilename,,Profile Name:,Имя профиля:,
pf_label_version,,Version:,Версия:,
pf_groupbox_modifications,,Modifications,Модификации,
pf_button_cancel,,Cancel,Отмена,
pf_button_save,,Save,Сохранить,
;ReleaseDownloader Form;,,,,
rd_title,Window Title,Downloader,Загрузчик,
rd_label_downloadprogress,,Download Progress:,Прогресс скачивания:,
rd_label_extractionprogress,,Extraction Progress:,Прогресс извлечения:,
;PerFileUpdater Form;,,,,
pfu_title,,Updater,Загрузчик,
pfu_label_updateinfoprogress,,Update Info Download Progress:,Загрузка информации об обновлении:,
pfu_label_comparisonprogress,,Comparison Progress:,Сравнение файлов:,
pfu_label_downloadprogress,,Download Progress:,Скачивание файлов:,
;MessageBox;,,,,
DLNotSelected,,Can't update! Select a DL first in Settings tab!,Не могу обновить! Выберите сначала ссылку для скачивания!,
DLNotSelectedTitle,,Error!,Ошибка!,
SomethingNotFoundError,,"Pokémon 3D requires {0}
Please visit {1} to download.
Would you like to open the webpage now?","Pokémon 3D требует {0}
Вы можете скачать это по данной ссылке {1}
Открыть эту ссылку в Браузере?",
SomethingNotFoundErrorTitle,,Error!,Ошибка!,
DownloadError,,Failed to download a file. Please try again!,Возникла ошибка при скачивании файла! Повторите попытку!,
DownloadErrorTitle,,Error!,Ошибка!,
FileReplacementError,,There was an error while replacing the old files with the new ones!,Возникла ошибка во время обновления старых файлов!,
FileReplacementErrorTitle,,Error!,Ошибка!,
LauncherUpdateAvailable,,"A new Launcher version is available!
Would you like to update?","Доступна новая версия лаунчера!
Хотите обновиться?",
LauncherUpdateAvailableTitle,,Update is Available!,Доступно обновление!,
NoInternet,,Could not connect to GitHub! Is Internet connection available?,Не мог подключиться к GitHub! Вы подключены к интернеу?,
NoInternetTitle,,Update Check Error!,Ошибка!,
NotDownloaded,,"Profile '{0}' was not downloaded!
Would you like to download it?","Профиль '{0}' не был скачан!
Вы хотите его скачать?",
NotDownloadedTitle,,Not Downloaded!,Ошибка!,
NoUpdateNeeded,,The Profile doesn't need an update!,Профиль уже был обновлен!,
NoUpdateNeededTitle,,Done!,Готово!,
ProfileUpToDate,,Profile '{0}' is up to date!,Профиль '{0}' уже использует последнюю версию!,
ProfileUpToDateTitle,,Update Check,Проверка обновления,
ToolTipSaveCredentials,,"Enable ""Remember Me"" first!",Сперва разрешите сохранение данных для входа!,
UpdateAvailable,,Would you like to update the [{0}] version to [{1}] (Yes) or would you like to download it as an independent version (No)?,"Вы хотите обновить версию [{0}] до версии [{1}]?",
UpdateAvailableTitle,,Update is Available!,Доступно обновление!,
Updated,,The Profile was successfully updated!,Профиль был обновлен!,
UpdateDisabled,,"Update is disabled! Please download the new version, don't use updating.",Готово!,
UpdateDisabledTitle,,Error!,Ошибка!,
UpdatedTitle,,Success!,Успешо!,
END,,,,